,href
13,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-do-duc-duc-phuong-me-tri-prj-vinhomes-west-point/ban-3-png-ngu-vinmes-doi-dien-bao-tang-ha-noi-gia-nhinh-6-ty-pr39191477
14,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-kim-ma-phuong-kim-ma/-mini-doi-giang-van-minh-noi-that-cao-cap-gia-hap-dan-pr26738181
15,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-me-tri-phuong-nhan-chinh-prj-trinity-tower/-chu-ban-2pn-68m2-2pn-2wc-full-noi-that-3-4-ty-lh-pr38851563
16,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-xa-dan-phuong-phuong-lien/chinh-chu-ban-gia-re-trung-phung-dong-da-35-50m2-full-do-pccc-chuan-pr38888019
17,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-tran-binh-phuong-my-dinh-2-prj-an-binh-plaza/b-nhh-97-3-ngu-2vs-nha-dep-gia-chi-nhinh-04-ty-pr39028049
18,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-duc-giang-2-prj-valencia-garden/ban-gap-viet-hung-duplex-3pn-day-du-noi-that-so-lau-dai-san-giao-dich-goc-pr38558141
19,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-lang-ha-phuong-lang-ha-prj-sky-city-towers-88-lang-ha/ban-3-ngu-172m2-88-n-c-dep-gia-tot-pr39171702
20,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-duc-giang-2-prj-phuong-dong-green-home/-76m2-2pn-ky-p-truc-tiep-cdt-gia-tu-25-tr-m2-quanh-khu-vuc-long-bien-pr37604874
21,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-hoang-liet-prj-khu-do-thi-moi-linh-dam/chinh-chu-ban-toa-d1-ct2-bac-so-chinh-chu-pr39180815
22,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sakura-vinhomes-smart-city/ban-gap-1pn-1-full-do-tang-trung-noi-khu-city-pr39202071
23,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/ban-goc-3pn-tich-110m2-gia-5-5-ty-lien-he-xem-nha-pr39135800
24,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-minh-thao-phuong-xuan-dinh-prj-n03-t2-ngoai-giao-doan/ban-4-png-ngu-dien-tich-170m2-n03t2-lh-pr39147202
25,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/ban-64m-gia-3-2-ty-lo-goc-cuc-dep-pr39104704
26,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-hau-prj-indochina-plaza-hanoi/ban-3pn-145m2-nha-vuong-dep-ha-noi-iph-full-lh-zalo-0389018359-pr37898346
27,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-minh-khai-prj-hinode-city/ban-77m2-2pn-2vs-noi-that-400tr-2-slot-o-to-gia-4-ty-500-pr38995000
28,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-handico-complex/ban-goc-suat-ngoai-giao-gia-goc-58tr-m2-o-da-dt-95m2-3-pn-2-wc-ban-cong-dn-pr39193332
29,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-duong-noi-prj-xuan-mai-sparks-tower/-ban-3pn-hh2abc-yen-nghi-dt-80m-day-du-that-gia-2-7x-ty-pr39202743
30,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-chi-thanh-phuong-lang-ha-prj-vinhomes-nguyen-chi-thanh/-ban-2-trong-3-ch-86-6m-gia-5-6-ty-167m-gia-12-5-ty-137m-gia-8-9-ty-pr38061809
31,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-lumiere-evergreen/dau-tu-cao-cap-dong-10-htls-ngan-hang-36-thang-ban-giao-full-noi-that-pr38908200
32,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ham-nghi-phuong-my-dinh-2-prj-mon-city/toi-ban-toa-hd-2pn-du-do-pr39175341
33,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-huynh-van-nghe-phuong-sai-dong-prj-le-grand-jardin-sai-dong/chinh-chu-ban-dap-tng-191m22-5-png-ngu-view-view-vinmes-riverside-ban-cong-nam-pr39188258
34,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-the-legend-tower-109-nguyen-tuan/ban-3pn-2wc-115m2-gia-5-85-ty-tai-109-tuan-pr38449432
35,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dich-vong-hau-prj-ha-noi-paragon/mo-ban-quy-dep-2pn-3pn-gia-re-nt-khu-vuc-cau-giay-nn-n-o-ngay-pr39097378
36,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dich-vong-hau-prj-ha-noi-paragon/ban-3-ngu-goc-dep-huong-dong-nam-trung-tam-quan-cau-giay-nhan-nha-o-ngay-so-do-trao-tay-pr39195904
37,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-prj-imperia-garden/bql-tong-p-quy-moi-nhat-2pn-va-3pn-gia-tot-da-san-so-de-giao-dich-lh-pr38879162
38,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-diamond-goldmark-city/ban-104m2-3pn-cua-tn-ban-cong-db-ntcb-tai-gia-4-5-ty-pr39173373
39,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-quoc-vuong-phuong-dich-vong-hau-prj-ha-noi-paragon/4ty-mua-duoc-157m2-4pn-so-lau-dai-nhan-nha-o-ngay-tang-ngay-1-cay-vang-truoc-tet-pr39039396
40,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thanh-binh-phuong-mo-lao-prj-thap-doanh-nhan-tower/chinh-chu-ban-3n2wc-full-noi-that-toa-ha-dong-pr39040008
41,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/chinh-chu-ban-4pn-2wc-toa-r4-tang-18-gia-cat-lo-300tr-full-noi-that-pr38358562
42,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-hoang-dao-thuy-phuong-nhan-chinh-prj-diamond-flower-tower/danh-sach-ban-3pn-toa-du-do-do-co-ban-nha-dep-pr39155642
43,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-trong-tue-xa-ta-thanh-oai-prj-chung-cu-dai-thanh/ban-2-ngu-tang-dep-nha-dep-gia-hoa-hau-so-do-1-5x-ty-pr39152559
44,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lac-long-quan-phuong-phu-thuong-1-prj-heritage-west-lake/pkd-tng-bao-quy-2pn-3pn-duplex-so-huu-lau-dai-tai-view-tay-gia-tot-pr38201129
45,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thanh-thai-phuong-dich-vong-prj-khu-do-thi-moi-dich-vong/ban-n07-86m2-2-ngu-full-gia-3-ty-6-lh-pr38395782
46,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-ngoc-thuy-prj-khai-son-city/-120m2-thiet-ke-3pn-3vs-gan-p-co-gia-chi-nhinh-4-ty-chuan-bi-nhan-nha-pr38814859
47,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-trung-kinh-phuong-yen-hoa-2-prj-home-city-trung-kinh/chinh-chu-ban-70m2-cc-2pn-2wc-san-so-full-noi-that-gia-ban-4-1ty-pr39193190
48,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-la-phuong-phuc-la-prj-khu-do-thi-moi-xa-la/tin-hot-tien-ban-nhanh-ch-2pn-tang-trung-nha-dep-so-chinh-chu-toa-ct4c-xala-pr39181996
49,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-handi-resco-le-van-luong/-chu-ban-ch-handiresco-s65m2-2n2w-bc-dn-full-noi-that-gia-4-2t-call-mr-hung-pr39139565
50,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-giang-van-minh-phuong-giang-vo/so-do-lau-dai-ban-ba-dinh-32-55m2-full-do-luon-o-ngay-nua-pr36939602
51,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-huynh-thuc-khang-phuong-lang-thuong-prj-hateco-laroma/mo-ban-39-ngoai-giao-cao-cap-laroma-pr38585187
52,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-quoc-vuong-phuong-dich-vong-hau-prj-ha-noi-paragon/nhan-nha-o-ngay-so-hong-trao-tay-3pn-ban-cong-dong-nam-chiet-khau-6-5-tang-kem-qua-100-trieu-pr39202961
53,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-handico-complex/mo-ban-du-an-compx-33-cao-cap-chi-tu-4-ty-so-huu-2-3pn-pr39097449
54,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-giay-phuong-dich-vong-prj-ctm-building-299-cau-giay/ban-299-ha-noi-dien-tich-86m2-gia-35tr-m2-pr34846017
55,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-trai-phuong-thuong-dinh-prj-royal-city/-ban-nhanh-cao-cap-vinmes-toa-r1-124m-view-noi-khu-8-3-ty-thu-ve-pr39186285
56,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-huu-duc-phuong-cau-dien-prj-iris-garden/chinh-chu-ban-2-ngu-full-noi-that-co-gia-tot-nhat-thi-truong-lh-pr39198454
57,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-2-prj-flc-complex-36-pham-hung/chu-nha-n-ban-3-ngu-nam-tu-liem-dt-131m-gia-5-4-ty-lh-pr38967647
58,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phuc-la-prj-chung-cu-nam-xa-la/ban-nhanh-toa-82m2-full-noi-that-dep-gia-chi-1-9x-ty-lh-pr39192611
59,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-quoc-vuong-phuong-dich-vong-hau-prj-ha-noi-paragon/ban-2-3-ngu-du-an-duy-tan-cach-truong-diem-vai-buoc-chan-pr39147474
60,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-hieu-phuong-ha-cau-prj-phu-thinh-green-park/ban-thiet-ke-2-ngu-1-nha-dep-pr39158225
61,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-van-quan-prj-toa-nha-197-tran-phu/-tien-ban-gap-tang-9-197-72m2-2-ngu-so-ng-bao-phi-c-khach-pr39205044
62,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hoa-phuong-dai-kim-prj-chung-cu-x2-dai-kim/nha-chinh-chu-ban-ngay-2pn-cua-dong-nam-pr39093863
63,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-duc-giang-phuong-duc-giang-2-prj-binh-minh-garden/em-ban-3pn-san-ve-o-ngay-gia-tot-pr39205906
64,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-trung-hoa-4-prj-chung-cu-song-da-7/ban-vien-chien-luoc-bo-cong-an-110m2-2-phong-ngu-gia-4-99-ty-lh-pr39168702
65,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-masteri-west-heights/nha-dep-gia-tot-du-an-cao-cap-hang-sang-heights-pr39136249
66,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-miami/-ban-quy-2pn-3pn-toa-gs6-vinhomes-smart-city-co-hoi-mua-nha-tu-mong-gia-tot-cuoi-cung-pr38987138
67,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/quy-chuyen-nhuong-gia-tot-studio-1pn-2pn-3pn-chi-tu-1ty-600-o-ngay-lh-pr39196567?c=d1
68,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-doi-nhan-phuong-vinh-phuc-prj-khu-nha-o-so-6-doi-nhan/ban-goc-6-100m2-do-chinh-chu-pr39088398
69,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-trong-tan-phuong-phu-la-prj-khu-do-thi-moi-van-phu/chinh-chu-ban-tang-28-ct12-kdt-73m2-2pn-2wc-goc-cuc-dep-lh-pr39180779
70,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-minh-giam-phuong-trung-hoa-4-prj-mandarin-garden/chu-nha-tin-tuong-gui-ban-gap-172m2-full-noi-that-tai-cau-giay-lh-pr38773353
71,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-yen-nghia-1-prj-ct2-yen-nghia/ban-3-ngu-90-6m2-ha-dong-noi-that-nhu-hinh-gia-2-65-pr39143718
72,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-tran-binh-phuong-my-dinh-2-prj-an-binh-plaza/em-nam-chuyen-b-97-dg-co-quy-dep-b-gia-tot-lh-pr39013932
73,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-minh-giam-phuong-nhan-chinh/-chu-ban-78m2-toa-n2f-ang-nha-dep-lh-pr39164953
74,https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/chinh-chu-gui-ban-gap-1-ngu-43m2-full-do-tang-trung-lien-he-pr39179140
75,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-tran-binh-phuong-my-dinh-2-prj-an-binh-plaza/chinh-chu-b-cc-tai-dt-82-5m2-3pn-2wc-gia-3-8ty-lh-pr39135510
76,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-trung-thanh-thi-tran-trau-quy-prj-hanhomes-blue-star/ban-so-10-bluestar-tang-dt-59m2-gia-28-5tr-m2-pr38875120
77,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-my-dinh-1-prj-the-emerald/chinh-chu-ban-82m-thiet-2n-2wc-gia-3-4-ty-ban-nhanh-trong-thang-7-pr37638936
78,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vinh-ho-phuong-thinh-quang/ban-tap-the-p-thai-trung-liet-65m2-gia-2-ti-pr39170709
79,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-hoang-van-thu-4-prj-feliz-homes/quy-chuyen-nhuong-gia-tot-nhat-tai-du-an-mes-ang-mai-da-dang-tu-1n-2n-3n-pr39128311
80,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-lang-viet-kieu-chau-au-euroland/chinh-chu-gui-ban-191m2-dep-view-trung-van-tang-mat-gia-5-x-ty-pr38452890
81,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-huyen-phuong-xuan-tao-prj-n01-t6-ngoai-giao-doan/ban-ng-so-05-104m2-view-cheo-tay-hanjadin-lh-0973013230-pr37656775
82,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-kim-xuyen-phuong-yen-hoa-2-prj-chelsea-residences/chinh-chu-gui-ban-tai-residence-98m-3n2w-cua-dn-gia-6-3-ty-xem-nha-lh-pr39155395
83,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ngoc-lam-phuong-ngoc-lam-2-prj-one-18-ngoc-lam/bql-du-an-one18-cap-nhat-quy-thang-10-2023-pr38380199
84,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-long-bien-phuong-ngoc-lam-2-prj-mipec-riverside/gia-dinh-chuyen-nhuong-b-tang-cao-125m2-3-pn-cc-lh-pr39156036
85,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-5b-xa-da-ton-prj-masteri-waterfront/-t-3pn-thuoc-toa-hawaii-view-bien-ocean-park-tro-nh-80-mien-goc-lai-den-30-09-2025-pr39163882
86,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-thai-hoc-phuong-yet-kieu-2-prj-chung-cu-16b-nguyen-thai-hoc/ban-cc-duyen-hai-120m2-3-ngu-bc-dn-noi-that-dang-cap-3-3-ty-pr39192082
87,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-hoang-van-thu-4-prj-feliz-homes/ban-cao-cap-felizme-den-lu-ang-mai-gia-tren-40tr-m-pr39126170
88,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-trung-hoa-phuong-trung-hoa-4-prj-trung-yen-plaza/ban-178m-3pn-toa-so-1-hoa-pr39187207
89,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-giay-phuong-quan-hoa-prj-cau-giay-center-point/-gia-that-chinh-chu-ban-07-127m2-tang-trung-full-nt-gia-7-ty-cc-point-pr39152488
90,https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-an-khanh-4-prj-moonlight-1-an-lac-green-symphony/ban-vi-dam-me-cat-lo-3pn-95m2-dong-nam-gia-4-1xx-ty-mien-1-nam-be-boi-pr39195250
91,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe-prj-khu-do-thi-van-khe/chinh-chu-ban-re-3n-goc-139m2-3-55-ty-cuc-thoang-rong-rat-gap-ha-dong-pr39181786
92,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phu-thuong-1-prj-sunshine-golden-river/quy-ngoai-giao-5-cuoi-cung-chiet-khau-len-den-52-cac-3-ngu-141-228m2-tu-7-4-ty-ky-hdmb-pr38996352
93,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-dien-phuong-phu-dien-prj-toa-nha-intracom-2/chinh-chu-gui-ban-103m2-3n2vs-3-6-ty-gia-mem-nhat-du-an-pr39188041
94,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-1-prj-vinhomes-skylake/gia-minh-ban-160m2-4-png-ngu-full-do-dep-cc-vinmes-gia-12-5-ty-pr39175830
95,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tam-trinh-phuong-yen-so-prj-nha-o-xa-hoi-home/ban-cc-2-ngu-me-987-goc-thuong-mai-pr39137414
96,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-hong-tien-phuong-bo-de-prj-hc-golden-city/-ban-gap-3-phong-ngu-102m2-tang-dep-full-do-o-ngay-gia-re-nhat-du-an-pr38010157
97,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-ngoc-thuy-prj-khai-son-city/-long-bien-view-trieu-do-nha-ke-pho-g-da-tien-ich-pr38941115
98,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-prj-n05-kdt-dong-nam-tran-duy-hung/chinh-chu-ban-gap-ch-toa-29t2-3pn-2wc-dt-152m2-gia-5-3-ty-lh-0965066754-pr35340844
99,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-nhan-chinh-prj-harmony-square/quy-chuyen-nhuong-2pn-3pn-moi-nhat-t1-2024-gia-tot-nhat-thi-truong-lh-pr38981677
100,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-vinh-tuy-prj-times-city/ban-nhanh-hoa-hau-2pn-sang-87m-tang-trung-toa-t7-gia-4-3-ty-0901793288-pr34438532
101,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-trong-tan-phuong-la-khe-prj-park-kiara/chinh-chu-ban-3-ngu-107m-kiara-pr38601402
102,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-canopy-residences-vinhomes-smart-city/-3n-80-5m-gia-chi-5-3-ty-truc-14-toa-tc1-view-noi-khu-tonkin-smartcity-nam-tu-liem-pr39143129
103,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sakura-vinhomes-smart-city/-3pn-cuoi-cung-toa-sa1-view-noi-khu-chi-3-83-ty-tien-do-5-2-thang-vay-an-han-t12-2025-pr39195809
104,https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ti-diem-vang-mua-cao-cap-tot-chi-tu-450tr-nhan-nha-o-ngay-tet-ac-c-thue-cao-pr38953253
105,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-5-xa-dong-hoi-prj-eurowindow-river-park/ban-gap-82m2-2ty650-toa-tang-dep-full-noi-that-so-san-giao-dich-pr39185007
106,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/ban-duplex-trong-khu-do-thi-gia-tot-lien-he-pr38303381
107,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quang-trung-phuong-quang-trung-17-prj-flc-star-tower/dep-khong-ti-vet-toi-thien-chi-ban-ch-2-ngu-goc-80m2-noi-that-cao-cap-sdcc-toa-trung-pr39178945
108,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-trong-tan-phuong-phu-la-prj-van-phu-victoria/toa-v2-dien-tich-118m-2-ngu-2wc-gia-4-2-ti-lh-pr39177795
109,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/quy-2-3-ngu-gia-re-n-thi-truong-300-500tr-tro-vay-ngan-hang-pr39145729
110,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-dinh-prj-n03-t3-t4-ngoai-giao-doan/cc-ban-nhanh-3pn-view-tai-toa-n03t3b-view-lh-0924691666-pr35403338
111,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-prj-eurowindow-multi-complex/-ban-2pn-2vs-s-100m2-ban-cong-dn-du-noi-that-nha-da-co-so-va-lot-o-to-toa-euro-window-pr39029948
112,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-viet-hung-2-prj-vinhomes-symphony-riverside/-cao-cap-trung-tam-kdt-150m-lh-0917507299-pr33047987
113,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-hoang-liet-prj-hh2-linh-dam/-2-ngu-1-ve-sinh-toa-hh2c-duy-nhat-1-thoi-a-nhanh-thi-con-cham-la-het-a-pr39164933
114,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-dai-mo-prj-roman-plaza/chuyen-cong-tac-xa-i-ban-3pn-2wc-tang-trung-cc-mua-ban-truc-tiep-pr30595351
115,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-yen-so-prj-hateco-hoang-mai/-t26-dt110m-3pn-lo-goc-full-noi-that-pr39053772
116,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dich-vong-hau-prj-ha-noi-paragon/-ban-3pn-trung-tam-quan-cau-giay-nhan-nha-o-ngay-so-do-lau-dai-chi-52tr-m-ck-6-5-pr39208684
117,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lac-long-quan-phuong-phu-thuong-1-prj-heritage-west-lake/ban-duplex-t-267m2-goc-view-tay-tai-lh-pr39025567
118,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-chu-van-an-phuong-yet-kieu-2-prj-samsora-premier/da-dg-quy-2pn-70-73m2-3pn-80-90m2-b-tai-du-ti-diem-de-cn-pr37064873
119,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-vinhomes-smart-city/do-nhu-cau-gia-dinh-muon-doi-len-3pn-ban-gap-studio-full-do-xin-dep-so-do-cam-tay-pr39095448
120,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe-prj-the-pride/nhinh-3-ty-so-102m2-3pn-3wc-ban-cong-png-khach-tang-trung-so-do-cam-tay-pr39195242
121,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-thu-do-phuong-yen-so-prj-hateco-hoang-mai/-cc-ban-gap-cchateco-p2009-76-7m2-va-1518-52m2-full-nt-gia-28-tr-m2-gdg-pr38788666
122,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-32-xa-di-trach-prj-chung-cu-the-wisteria/chinh-thuc-mo-ban-cao-cap-du-an-3pn-dt-99m2-chi-hon-3-ty-vay-mien-lai-24t-pr39124299
123,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-nguy-nhu-kon-tum_1-phuong-nhan-chinh-prj-hei-tower/ban-gap-100-m2-3-pn-2wc-tum-pr39207556
124,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-phung-hung-1-phuong-phuc-la-prj-khu-do-thi-moi-xa-la/toi-chinh-chu-ban-ch-toa-ct6-70m2-2pn-2wc-ban-cong-dong-nam-mat-me-pr38513023
