Dự án,Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình chung cư,Nhóm 1-Trường học,Nhóm 1- Chợ/Siêu thị,Nhóm 1-Bệnh viện,Nhóm 2-Công viên,Nhóm 2-Bể bơi,Nhóm 2-Gym,Slot ô tô,Nhà thoáng,Hiện đại,Bán gấp,Lô góc,Hỗ trợ vay,Tầng
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39194161,47.0,31.9,,,1.0,1.0,Sổ đỏ,Cơ bản.,Chung cư,0,0,0,0,0,0,0,1,0,0,1,0,
Seasons Avenue,,Mỗ Lao,Hà Đông,Nội thành,Tin thường,39113071,112.2,45.1,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Nam Đô Complex,Trương Định,Giáp Bát,Hoàng Mai,Nội thành,Tin thường,38809381,80.0,41.6,,,2.0,2.0,Sổ đỏ.,,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
Handico Complex,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,39175873,71.0,Thỏa thuận,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,0,0,0,0,0,1,0,0,0,0,1,
VOV Mễ Trì,Lương Thế Vinh,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,39186917,70.0,40.7,,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,1,1,0,0,1,0,
BRG Diamond Residence,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,38787364,62.0,74.2,Tây - Nam,Tây - Bắc,2.0,2.0,,,Chung cư,0,0,0,0,0,0,1,1,0,0,0,0,Trung
N01-T6 Ngoại Giao Đoàn,,,Bắc Từ Liêm,Nội thành,Tin thường,38579968,143.0,Thỏa thuận,Nam,Đông - Bắc,4.0,3.0,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Chung cư mini Phố Thái Hà,Thái Hà,Trung Liệt,Đống Đa,Nội thành,Tin thường,37612668,50.0,26.0,Tây - Nam,Bắc,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư mini,1,0,0,0,0,0,1,0,0,0,0,0,
FLC Landmark Tower,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,38631766,159.0,Thỏa thuận,,Tây - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Không nội thất,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Times City - Park Hill,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,39195331,130.0,80.8,Đông,Tây - Nam,4.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,1,0,0,0,
Khu Ngoại Giao Đoàn,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,39152471,70.0,57.1,,Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,1,1,0,0,0,0,1,1,0,0,0,
Sails Tower,Cầu Bươu,Kiến Hưng,Hà Đông,Nội thành,Tin thường,39195039,100.0,29.8,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Chung cư Phường Trung Hòa,,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,38809584,65.0,40.8,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
The Zenpark,Đông Dư,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,38904743,90.2,44.3,Đông - Bắc,Tây - Nam,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
HH4 Linh Đàm,Linh,Hoàng Liệt,Hoàng Mai,Nội thành,Tin thường,39195369,76.0,Thỏa thuận,,,2.0,2.0,,Đầy đủ.,Chung cư,0,0,0,0,0,0,0,0,0,0,0,1,Trung
MHD Trung Văn,Tố Hữu,Trung Văn,Nam Từ Liêm,Nội thành,Tin thường,38689591,136.0,45.6,Đông - Nam,Tây - Nam,4.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Park Kiara,Lê Trọng Tấn,La Khê,Hà Đông,Nội thành,Tin thường,34662449,107.0,62.6,,,3.0,2.0,,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
The Vesta,,Phú Lãm,Hà Đông,Nội thành,Tin thường,39051171,57.0,37.7,Nam,Bắc,2.0,2.0,,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Imperia Smart City,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,34098920,55.0,47.3,Tây - Nam,Đông - Bắc,2.0,1.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,1,1,1,1,1,0,0,1,1,0,0,0,
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,39199133,86.2,65.5,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Thấp
Rivera Park Hà Nội,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,35287674,94.0,Thỏa thuận,Đông - Nam,Tây - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng.,,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,
Chung cư mini Phường Tương Mai,,Tương Mai,Hoàng Mai,Nội thành,Tin thường,39187847,30.0,20.0,,,1.0,1.0,Sổ đỏ/ Sổ hồng.,,Chung cư mini,0,0,0,0,0,0,0,1,0,0,0,0,
Green Park CT15 Việt Hưng,Bùi Thiện Ngộ,Giang Biên,Long Biên,Nội thành,Tin thường,39196323,227.0,41.9,,,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,1,1,1,0,0,0,1,1,0,0,0,
Eco Dream,,Tân Triều,Thanh Trì,Ngoại thành,Tin thường,37360077,98.0,Thỏa thuận,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Sunshine Golden River,,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38631335,211.0,Thỏa thuận,,Nam,4.0,,,,Chung cư,0,0,0,1,1,0,1,1,1,0,0,0,
Eco City Việt Hưng,,Giang Biên,Long Biên,Nội thành,Tin thường,39078309,64.0,39.7,,,2.0,2.0,Sổ đỏ/ Sổ hồng,"Đầy đủ - Sàn gỗ nhập khẩu Đức, trần thạch cao. - Thiết bị vệ sinh ToTo, vách tắm đứng, tủ gỗ Lavabo. - Điều hòa 2 chiều Mitsubishi. - Tủ bếp trên + dưới, bếp từ, hút mùi Hafele. - Hệ thống cửa chính,",Chung cư,1,1,0,1,1,1,0,1,1,0,1,1,
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,Ngoại thành,Tin thường,39167824,95.0,Thỏa thuận,Tây - Nam,Đông - Bắc,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
Green Diamond 93 Láng Hạ,Láng Hạ,Láng Hạ,Đống Đa,Nội thành,Tin thường,39145987,91.36,Thỏa thuận,,,3.0,2.0,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
N01-T6 Ngoại Giao Đoàn,,Xuân Tảo,Bắc Từ Liêm,Nội thành,Tin thường,39199696,106.0,Thỏa thuận,,,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,1,0,0,0,Cao
Valencia Garden,Đào Văn Tập,Đức Giang,Long Biên,Nội thành,Tin thường,36406628,126.0,26.9,,,3.0,2.0,Sổ hồng cầm tay,Full nội thất.,Chung cư,0,0,0,0,0,0,0,1,1,0,1,0,
Sunshine City,,Đông Ngạc,Bắc Từ Liêm,Nội thành,Tin thường,38458788,80.0,47.5,,,2.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,1,
N04 Trần Duy Hưng,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,24704865,128.0,Thỏa thuận,,,3.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,Cao
C37 Bộ Công An - Bắc Hà Tower,Tố Hữu,Trung Văn,Nam Từ Liêm,Nội thành,Tin thường,38662949,95.0,46.3,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
Nhà ở xã hội @Home,Tam Trinh,Yên Sở,Hoàng Mai,Nội thành,Tin thường,39180013,72.0,37.5,,,3.0,2.0,Đã có sổ.,,Nhà tập thể,0,0,0,0,0,0,0,1,0,0,0,0,Trung
The Sakura - Vinhomes Smart City,,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,37765324,34.0,37.9,,,1.0,1.0,Sổ đỏ/ Sổ hồng.,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
IA20 Ciputra,,Đông Ngạc,Bắc Từ Liêm,Nội thành,Tin thường,39182122,109.0,44.0,,,3.0,2.0,,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Green Diamond 93 Láng Hạ,Láng Hạ,Láng Hạ,Đống Đa,Nội thành,Tin thường,39125342,92.0,76.1,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng.,Cơ bản liền tường cao cấp.,Chung cư,0,0,0,0,0,0,0,1,1,0,0,0,
Mandarin Garden,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,32574795,145.0,Thỏa thuận,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Five Star Kim Giang,Kim Giang,Kim Giang,Thanh Xuân,Nội thành,Tin thường,38160953,71.0,42.3,,,2.0,2.0,Sổ đỏ/ Sổ hồng,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Hồ Gươm Plaza,Trần Phú,Mỗ Lao,Hà Đông,Nội thành,Tin thường,38305845,131.0,34.0,,,4.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,0,0,0,1,1,0,0,0,0,0,0,
The Matrix One,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,31974314,113.0,57.5,Tây - Bắc,Đông - Nam,3.0,2.0,,Full nội thất.,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
Văn Khê,Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,39166635,102.0,29.9,Tây - Nam,Đông - Bắc,2.0,2.0,,"Sàn gỗ, trần thạch cao giật cấp các phòng, tủ bếp, bếp, hút mùi, tủ quần áo, tủ giày, kệ tivi, 4 điều hòa, nóng lạnh, rèm, lưới an toàn...",Chung cư,1,0,1,0,0,0,0,1,1,0,1,0,
Chung cư Đường Xuân La,Xuân La,Xuân La,Tây Hồ,Nội thành,Tin VIP Bạc,39163632,45.0,24.4,,,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,1,0,0,0,0,1,1,1,0,0,0,
Tecco Garden,Tứ Hiệp,Tứ Hiệp,Thanh Trì,Ngoại thành,Tin thường,38380206,127.3,27.0,,,3.0,,,,Chung cư,1,0,0,1,0,0,0,1,0,0,0,0,
Chung cư The Legacy,Ngụy Như Kon Tum,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,39125867,109.0,55.0,Đông - Nam,Tây - Bắc,3.0,2.0,Hợp đồng mua bán,Đầy đủ,Chung cư,0,0,0,0,0,0,1,1,1,0,0,0,
CT5 Văn Khê,,La Khê,Hà Đông,Nội thành,Tin thường,39168540,82.0,32.9,,,2.0,2.0,Sổ đỏ,Đầy đủ,Chung cư,1,1,0,0,0,0,0,1,0,0,0,0,Cao
Discovery Central,Trần Phú,Điện Biên,Ba Đình,Ngoại thành,Tin thường,39204453,145.0,110.0,,,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,0,1,1,0,0,1,1,1,0,0,0,Cao
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin VIP Kim Cương,38593119,133.0,35.6,Bắc,Nam,2.0,3.0,Sổ đỏ,Full,Chung cư,0,1,0,1,1,1,0,0,0,0,0,1,
FLC Star Tower,Quang Trung,Quang Trung,Hà Đông,Nội thành,Tin thường,39175966,78.0,35.9,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ.,"Trần thạch cao, tủ bếp, bếp từ, hút mùi, điều hòa, nóng lạnh,...",Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,Trung
KĐT Xa La,Phùng Hưng,Phúc La,Hà Đông,Nội thành,Tin thường,38735522,67.0,32.2,Đông - Bắc,Tây - Nam,2.0,2.0,Sổ đỏ.,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Hateco Laroma,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,Nội thành,Tin thường,39079466,137.5,94.5,Bắc,Nam,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Tecco Garden,Tứ Hiệp,Tứ Hiệp,Thanh Trì,Ngoại thành,Tin thường,38096001,127.0,28.3,Tây - Nam,Đông - Bắc,4.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản.,Chung cư,1,1,0,0,0,0,0,1,0,0,0,1,
Moonlight 1 - An Lạc Green Symphony,,An Khánh,Hoài Đức,Ngoại thành,Tin thường,39035120,93.0,46.2,Đông - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,1,0,0,0,1,1,0,0,0,
The Emerald CT8 Mỹ Đình,,Mỹ Đình 1,Nam Từ Liêm,Nội thành,Tin thường,38849931,78.0,44.9,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
M3 - M4 Nguyễn Chí Thanh,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,Nội thành,Tin thường,38584530,120.0,41.7,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Chelsea Residences,Trần Kim Xuyến,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,38339289,111.0,58.6,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,1,0,
Tháp doanh nhân Tower,Thanh Bình,Mỗ Lao,Hà Đông,Nội thành,Tin thường,39207592,61.0,31.6,,,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Udic Westlake,Võ Chí Công,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38275169,249.0,40.0,,,4.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
The Garden Hills - 99 Trần Bình,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,33681645,69.0,47.8,Tây - Nam,Đông - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,1,0,0,1,1,0,0,0,
Roman Plaza,Tố Hữu,Đại Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39175477,76.0,48.7,Tây - Nam,Đông - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,39194630,167.0,65.9,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,1,0,1,0,
Florence Mỹ Đình,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,Nội thành,Tin thường,31215094,101.0,Thỏa thuận,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Chung cư,0,1,0,0,0,0,0,1,0,0,0,0,
Hinode City,Minh Khai,Minh Khai,Hai Bà Trưng,Nội thành,Tin thường,39201504,80.0,Thỏa thuận,,,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
AZ Sky,Trần Nguyên Đán,Định Công,Hoàng Mai,Nội thành,Tin thường,36796786,78.0,37.2,,,2.0,2.0,,,Chung cư,1,0,1,1,1,0,0,0,0,0,0,0,
Hateco Hoàng Mai,,Yên Sở,Hoàng Mai,Nội thành,Tin thường,39105528,107.0,30.4,,Nam,3.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Chung cư,0,0,0,1,0,0,0,0,0,0,1,0,
Usilk City,21,La Khê,Hà Đông,Nội thành,Tin thường,28946994,94.0,37.8,Tây,Đông,2.0,2.0,Hợp đồng mua bán,,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
FLC Complex Phạm Hùng,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,39204632,75.0,40.0,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,37450190,59.0,30.8,,Đông - Nam,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Chung cư,1,1,1,0,1,0,0,0,0,0,0,1,
Sông Đà Hà Đông Tower,Trần Phú,Văn Quán,Hà Đông,Nội thành,Tin thường,38925619,156.0,29.5,,,5.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
An Lạc Green Symphony,,Vân Canh,Hoài Đức,Ngoại thành,Tin thường,38780067,80.0,43.8,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,1,0,0,1,1,0,1,0,0,0,0,0,
An Bình Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,39091448,88.0,Thỏa thuận,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,0,0,0,0,0,
Hà Nội Paragon,Phạm Hùng,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,39090267,90.0,60.0,,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Vinhomes Ocean Park Gia Lâm,,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,39128696,62.3,56.2,,Đông - Bắc,2.0,2.0,Hợp đồng mua bán,Cơ bản,Chung cư,0,0,0,0,0,0,0,1,1,0,0,1,
Chung cư mini Đường An Dương,An Dương,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38804729,50.0,19.8,,Đông - Nam,2.0,1.0,Hợp đồng mua bán,Đầy đủ,Chung cư mini,0,0,0,0,0,0,0,0,1,0,0,0,
Royal City,Nguyễn Trãi,Thượng Đình,Thanh Xuân,Nội thành,Tin thường,38162920,88.0,64.8,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
Moonlight 1 - An Lạc Green Symphony,,An Khánh,Hoài Đức,Ngoại thành,Tin thường,38369366,96.0,46.9,,,3.0,2.0,Sổ đỏ/ Sổ hồng,"* Bàn giao full nội thất nhập khẩu hiện đại: + Cửa gỗ cao cấp, chuông cửa, cửa kính khung nhôm tĩnh điện, kính trắng an toàn dày 6,38mm; sàn gỗ công nghiệp nhập khẩu dày 12mm, trần thạch cao, tường sơ",Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Tòa nhà 197 Trần Phú,Trần Phú,Văn Quán,Hà Đông,Nội thành,Tin thường,39206751,72.0,37.2,Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Le Grand Jardin Sài Đồng,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,Nội thành,Tin thường,39174623,84.9,Thỏa thuận,,Đông - Nam,3.0,,,"Nội thất bàn giao: Sàn gỗ, thiết bị vệ sinh, nóng lạnh, đèn trần, khóa số kết hợp vân tay.",Chung cư,1,1,0,1,1,0,0,1,0,0,0,0,
Keangnam,Phạm Hùng,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,39186565,160.0,71.9,Đông - Bắc,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,Trung
Lumi Hanoi,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39187184,42.2,Thỏa thuận,Đông - Nam,Tây - Bắc,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,1,0,0,1,
Trung Hòa Nhân Chính,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,26439245,115.0,Thỏa thuận,,Nam,3.0,,,,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,
The Pride,Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,38178807,90.0,Thỏa thuận,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Chung cư,0,0,0,0,0,0,0,0,0,0,1,1,
Sky Park Residence,Tôn Thất Thuyết,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,38803497,127.0,67.7,Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,0,1,0,0,0,0,
Làng Việt Kiều Châu Âu Euroland,,Mỗ Lao,Hà Đông,Nội thành,Tin thường,31279365,70.0,Thỏa thuận,Đông - Bắc,Tây - Nam,2.0,2.0,Sổ đỏ,Đầy đủ,Chung cư,0,0,0,0,0,0,0,0,1,0,0,0,
The Link 345-CT1,,Đông Ngạc,Bắc Từ Liêm,Nội thành,Tin thường,39022396,114.0,56.1,,,3.0,2.0,,,Chung cư,0,0,0,1,0,0,0,1,1,0,0,0,Cao
The Pride,Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,39127917,72.0,38.9,Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,1,0,0,0,0,0,0,0,0,Trung
Thanh Xuân Complex,Lê Văn Thiêm,Thanh Xuân Trung,Thanh Xuân,Nội thành,Tin thường,39127978,90.0,45.6,,,2.0,2.0,,,Chung cư,0,0,0,0,0,0,0,0,0,0,0,0,
Mulberry Lane,Mỗ Lao,Mỗ Lao,Hà Đông,Nội thành,Tin thường,38150025,154.0,32.0,Đông - Nam,Tây - Nam,4.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,Chung cư,0,0,0,0,1,0,0,1,1,0,1,0,
Diamond Flower Tower,Lê Văn Lương,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,39208812,122.0,55.0,,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Chung cư,0,0,0,0,0,0,1,1,1,0,0,0,
