Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng ban công,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình,Nhóm 1-Trường học,Nhóm 1- Chợ/Siêu thị,Nhóm 1-Bệnh viện,Công viên,Loại ngõ,Vỉa hè,Bán gấp,Sân phơi,Nhà thoáng,Gần hồ,An ninh,Hiện đại,Chỗ để xe,Thang máy,Lô góc,Hỗ trợ vay
Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,39089435,230.0,Thỏa thuận,30.0,8.0,,,4.0,6.0,6.0,Khác,Khác,Nhà riêng,0,0,0,0,,1,0,0,1,0,1,0,0,0,1,0
đường Võng Thị,Thụy Khuê,Tây Hồ,Nội thành,Tin thường,39018857,50.0,Thỏa thuận,,,,,7.0,6.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,0,0,1,,0,0,0,1,1,1,1,0,1,1,0
Lê Trọng Tấn,Dương Nội,Hà Đông,Nội thành,Tin thường,39142846,60.0,Thỏa thuận,4.0,30.0,,,4.0,,,Hợp đồng mua bán,Khác,Nhà riêng,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
Hồng Tiến,Bồ Đề,Long Biên,Nội thành,Tin thường,39119752,56.0,Thỏa thuận,5.4,5.0,,,6.0,5.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cao cấp,Nhà riêng,1,0,0,1,,0,0,0,0,0,1,1,1,1,0,0
Lê Trọng Tấn,La Khê,Hà Đông,Nội thành,Tin thường,39198684,170.0,Thỏa thuận,8.5,21.5,,Đông - Nam,4.0,,,Khác,Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Tân Mai,Hoàng Văn Thụ,Hoàng Mai,Nội thành,Tin thường,38105084,107.8,Thỏa thuận,5.0,,,Đông,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất thô,Nhà riêng,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
442B,Vân Canh,Hoài Đức,Ngoại thành,Tin thường,39150847,31.0,Thỏa thuận,3.6,2.5,,Tây - Nam,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0
Pháp Vân,Yên Sở,Hoàng Mai,Nội thành,Tin thường,39224376,120.0,Thỏa thuận,5.5,,,Nam,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,,0,0,0,1,0,0,0,0,1,0,0
Yên Lộ,Yên Nghĩa,Hà Đông,Nội thành,Tin thường,39183806,100.0,Thỏa thuận,5.0,11.5,Đông - Nam,Đông - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Nhà riêng,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Nguyễn Cảnh Dị,Đại Kim,Hoàng Mai,Nội thành,Tin thường,38875905,55.0,Thỏa thuận,4.2,6.0,,,5.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,1,0,0,1,0,1,1,1,0,0,0
Đào Tấn,Liễu Giai,Ba Đình,Nội thành,Tin thường,39163133,45.0,Thỏa thuận,,,,,,7.0,,Khác,Khác,Nhà riêng,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0
,Sài Sơn,Quốc Oai,Ngoại thành,Tin thường,36929424,180.0,Thỏa thuận,,,,,,,,Khác,Khác,Nhà riêng,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
Lạc Long Quân,Xuân La,Tây Hồ,Nội thành,Tin thường,38072538,76.7,Thỏa thuận,5.7,,,Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư mini,1,1,0,0,,0,1,0,0,1,0,0,0,0,0,0
,La Khê,Hà Đông,Nội thành,Tin thường,39101720,227.8,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Dương Khuê,Mai Dịch,Cầu Giấy,Nội thành,Tin thường,39195824,40.0,Thỏa thuận,4.0,,,,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cao cấp,Nhà riêng,0,0,0,0,Nhỏ,1,0,0,0,1,0,1,0,0,0,0
Yên Hòa,Yên Hòa,Cầu Giấy,Nội thành,Tin thường,39098753,32.0,Thỏa thuận,3.2,,,,5.0,3.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,0,0,1,,0,0,1,1,0,1,1,0,0,0,0
Ngọc Thụy,Thượng Thanh,Long Biên,Nội thành,Tin thường,36674886,158.0,Thỏa thuận,8.0,40.0,,Tây - Nam,4.0,3.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Tố Hữu,La Khê,Hà Đông,Nội thành,Tin thường,36863912,320.0,Thỏa thuận,9.0,11.5,Đông - Nam,Đông - Nam,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,1,0,0,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin thường,39191235,82.5,Thỏa thuận,5.0,12.0,,Đông - Nam,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,38860036,46.0,Thỏa thuận,5.0,7.0,Tây - Nam,Tây - Nam,5.0,4.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,1,1,0,1,,0,0,1,0,0,0,0,1,0,0,0
,Xuân La,Tây Hồ,Nội thành,Tin thường,38902339,154.0,Thỏa thuận,,,,,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0
,Quang Trung,Sơn Tây,Ngoại thành,Tin thường,38342832,254.0,Thỏa thuận,20.0,35.0,,Đông - Nam,4.0,7.0,7.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0
Ngọc Lâm,Ngọc Lâm,Long Biên,Nội thành,Tin thường,39213336,38.0,Thỏa thuận,,,,,6.0,4.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin VIP Bạc,23747312,82.5,Thỏa thuận,5.0,,Tây - Bắc,Tây - Bắc,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,1,1,1,,0,0,0,0,1,0,0,0,0,0,0
Ngọc Thụy,Long Biên,Long Biên,Nội thành,Tin VIP Vàng,39196411,605.0,Thỏa thuận,80.0,,,,4.0,7.0,8.0,Khác,Khác,Nhà riêng,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
,Gia Thụy,Long Biên,Nội thành,Tin thường,31183323,76.3,Thỏa thuận,5.5,40.0,,,5.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0
,Việt Hưng,Long Biên,Nội thành,Tin thường,38389403,180.0,Thỏa thuận,,13.0,,,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,39207898,64.0,Thỏa thuận,4.4,,,,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,0,1,0,1,1,1,1,0,0
Lê Trọng Tấn,Phú La,Hà Đông,Nội thành,Tin thường,39092050,75.0,Thỏa thuận,5.4,6.0,,,5.0,3.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0
,Tiền Phong,Mê Linh,Ngoại thành,Tin thường,38464160,300.0,Thỏa thuận,,,,,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Lạc Long Quân,Phú Thượng,Tây Hồ,Nội thành,Tin thường,37606110,399.0,Thỏa thuận,12.0,60.0,Bắc,Bắc,3.0,6.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0
,Dương Nội,Hà Đông,Nội thành,Tin thường,37953047,202.0,Thỏa thuận,,27.0,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0
,Xuân La,Tây Hồ,Nội thành,Tin thường,36710163,214.56,Thỏa thuận,10.0,15.0,Bắc,Bắc,3.0,5.0,5.0,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,0
,Vân Canh,Hoài Đức,Ngoại thành,Tin thường,39006005,126.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Nguyễn Xuân Khoát,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,39211202,395.0,Thỏa thuận,20.0,,Đông - Nam,Đông - Nam,3.0,5.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Nguyễn Lam,Phúc Đồng,Long Biên,Nội thành,Tin thường,38871360,145.0,Thỏa thuận,8.0,,,,,,,Khác,Khác,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
Lạc Long Quân,Phú Thượng,Tây Hồ,Nội thành,Tin thường,38306315,180.0,Thỏa thuận,9.0,,,Bắc,3.0,5.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0
Lê Trọng Tấn,Dương Nội,Hà Đông,Nội thành,Tin thường,36734917,160.0,Thỏa thuận,,13.5,,,,,,Khác,Khác,Biệt thự,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
Kim Đồng,Giáp Bát,Hoàng Mai,Nội thành,Tin thường,39186542,50.0,Thỏa thuận,,,,,5.0,4.0,5.0,Đang chờ sổ,Full nội thất,Nhà riêng,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0
Quốc lộ 32,Di Trạch,Hoài Đức,Ngoại thành,Tin thường,38330676,100.0,Thỏa thuận,5.0,33.0,Tây - Bắc,Tây - Bắc,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,1,0,0,0,1,0,0,0,1,0,0
Văn Hội,Đức Thắng,Bắc Từ Liêm,Nội thành,Tin thường,38755263,50.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Chung cư mini,1,0,0,0,,0,1,0,1,0,0,0,0,0,0,1
Trần Quang Khải,Chương Dương,Hoàn Kiếm,Nội thành,Tin thường,39177395,70.0,Thỏa thuận,7.0,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
,Trâu Quỳ,Gia Lâm,Ngoại thành,Tin thường,39118765,60.0,Thỏa thuận,4.7,4.0,Tây - Bắc,Tây - Bắc,2.0,3.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Nhà riêng,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,1
Võ Văn Kiệt,Quang Minh,Mê Linh,Ngoại thành,Tin thường,38353738,240.1,Thỏa thuận,34.0,15.0,Đông - Bắc,Bắc,,,,Khác,Khác,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0
,Yên Nghĩa,Hà Đông,Nội thành,Tin thường,38941033,100.0,Thỏa thuận,18.0,25.0,,,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Đại lộ Thăng Long,Tiến Xuân,Thạch Thất,Ngoại thành,Tin thường,39182064,400.0,Thỏa thuận,25.0,11.5,Nam,Đông - Nam,3.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất thô,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,0
Lê Trọng Tấn,Phú La,Hà Đông,Nội thành,Tin thường,39187140,77.0,Thỏa thuận,4.5,12.0,,Tây - Nam,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin thường,34257190,180.0,Thỏa thuận,9.0,,,Đông - Nam,,,,Khác,Khác,Biệt thự,0,1,0,1,,0,1,0,0,0,0,0,0,1,0,0
Nguyễn Chánh,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,24414781,96.0,Thỏa thuận,6.0,12.0,,,5.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,0,0,0,Nhỏ,0,1,0,0,0,0,0,0,0,0,0
,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,39210916,38.0,Thỏa thuận,,,,,5.0,,,Khác,Khác,Nhà riêng,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0
23B,Thanh Lâm,Mê Linh,Ngoại thành,Tin thường,39138193,135.0,Thỏa thuận,6.0,13.5,Đông - Bắc,Tây - Nam,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất thô,Biệt thự,1,0,0,1,,0,1,0,0,0,0,0,0,0,0,0
Hải Âu 3,Dương Xá,Gia Lâm,Ngoại thành,Tin thường,38760979,150.0,Thỏa thuận,8.5,15.0,Đông - Nam,Đông - Nam,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Lê Trọng Tấn,Dương Nội,Hà Đông,Nội thành,Tin thường,39099520,210.0,Thỏa thuận,,20.0,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư mini,0,0,0,1,,1,0,0,1,0,0,0,0,0,1,0
,,Nam Từ Liêm,Nội thành,Tin thường,38357356,308.0,Thỏa thuận,,,,,,,,Khác,Khác,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ngọc Thụy,Ngọc Thụy,Long Biên,Nội thành,Tin thường,38624457,63.0,Thỏa thuận,,,,,6.0,4.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,0,0,0,0,Rộng,0,0,1,0,0,0,0,1,1,1,0
,Thanh Lâm,Mê Linh,Ngoại thành,Tin VIP Bạc,39233198,294.0,Thỏa thuận,16.0,16.5,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,,0,0,0,1,0,0,0,0,0,1,0
,Sài Sơn,Quốc Oai,Ngoại thành,Tin thường,38976299,300.0,Thỏa thuận,,,,Tây - Bắc,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0
,Trâu Quỳ,Gia Lâm,Ngoại thành,Tin thường,37452202,75.0,Thỏa thuận,5.0,17.0,,,5.0,,,Khác,Khác,Biệt thự,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
,Tiền Phong,Mê Linh,Ngoại thành,Tin thường,39186398,300.0,Thỏa thuận,15.0,,,,,,,Khác,Khác,Biệt thự,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Hà Trì 4,Hà Cầu,Hà Đông,Nội thành,Tin thường,38824723,31.0,Thỏa thuận,3.5,3.0,,Nam,5.0,3.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin thường,37274228,290.0,Thỏa thuận,,,,,3.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,1,,1,0,0,0,0,0,1,0,0,1,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin thường,39140559,90.0,Thỏa thuận,5.0,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,1
Láng Hòa Lạc,An Khánh,Hoài Đức,Ngoại thành,Tin thường,38108088,320.0,Thỏa thuận,12.0,35.0,,Tây,3.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0
Hoàng Tăng Bí,Thụy Phương,Bắc Từ Liêm,Nội thành,Tin thường,38891040,57.0,Thỏa thuận,6.0,3.0,,Nam,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Nhà riêng,1,0,0,0,,0,0,0,1,0,1,0,0,0,0,0
,,Hà Đông,Nội thành,Tin thường,39206894,80.0,Thỏa thuận,4.0,13.5,Đông - Bắc,Tây - Nam,4.0,4.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Biệt thự,1,1,1,0,,0,1,0,1,0,0,0,0,1,0,0
Trần Khát Chân,Thanh Nhàn,Hai Bà Trưng,Nội thành,Tin thường,39202735,42.0,Thỏa thuận,4.5,,,,5.0,3.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,1,1,1,0,,0,1,1,0,0,0,1,0,1,0,0
Lê Trọng Tấn,An Khánh,Hoài Đức,Ngoại thành,Tin thường,39218443,200.0,Thỏa thuận,10.5,13.0,,Nam,4.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Biệt thự,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0
Nguyễn Chí Thanh,Thành Công,Ba Đình,Nội thành,Tin thường,39188866,45.0,Thỏa thuận,,,,,7.0,5.0,5.0,Khác,Khác,Nhà riêng,1,0,0,1,,0,0,0,1,1,0,1,1,0,1,0
,Xuân Tảo,Bắc Từ Liêm,Nội thành,Tin thường,39024422,259.0,Thỏa thuận,34.0,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Biệt thự,0,0,0,0,,0,0,0,1,0,0,0,1,0,1,0
70,Đại Mỗ,Nam Từ Liêm,Nội thành,Tin thường,39104223,120.0,Thỏa thuận,6.0,,,,,,,Khác,Khác,Biệt thự,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0
Tố Hữu,Dương Nội,Hà Đông,Nội thành,Tin thường,37722918,250.0,Thỏa thuận,12.0,,,Đông - Nam,4.0,5.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,1,0,0,,0,1,0,1,1,0,0,0,0,0,0
,Vân Canh,Hoài Đức,Ngoại thành,Tin thường,38883074,39.0,Thỏa thuận,,,,,5.0,,,Khác,Nội thất cơ bản,Nhà riêng,0,0,0,0,,0,0,0,1,0,0,0,1,0,0,0
Cổ Loa,Uy Nỗ,Đông Anh,Ngoại thành,Tin thường,38820870,70.0,Thỏa thuận,5.0,12.0,Đông - Bắc,Đông - Bắc,5.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
,Phùng,Đan Phượng,Ngoại thành,Tin thường,38908201,230.0,Thỏa thuận,10.0,13.0,Tây - Nam,Tây - Nam,4.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,Nội thành,Tin thường,39162056,55.0,Thỏa thuận,4.3,8.0,,,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Biệt thự,0,0,0,0,Nhỏ,1,0,1,0,0,1,0,1,0,0,0
Thái Hà,Trung Liệt,Đống Đa,Nội thành,Tin thường,39116191,55.0,Thỏa thuận,4.5,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Nhà riêng,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0
